2018-10-10 01:04:07 logger.py    metrics-tracker Log cleared
2018-10-10 01:04:07 logger.py    metrics-tracker Max log size reached: 2000 - Started new log.
2018-10-10 01:04:07 metrics.py   metrics-tracker   Successfully ran: free -o | tail -n +2.
2018-10-10 01:04:07 metrics.py   metrics-tracker   Successfully ran: cat /home/ubuntu/workspace/project/samples/sample-df.txt.
2018-10-10 01:04:07 metrics.py   metrics-tracker   Successfully ran: top -b -n1 | grep Cpu | tr -d '{NL}'.
2018-10-10 01:04:07 metrics.py   metrics-tracker Report Generated. Full report: False --------------
2018-10-10 01:04:59 WebApp       tralls          tralls logged in.
2018-10-10 01:05:00 metrics.py   tralls          Began collecting metrics: /opt/pyenv/versions/3.6.0/bin/flask run --host=0.0.0.0 --port=8080 --reload --with-threads --------------
2018-10-10 01:05:00 metrics.py   tralls            OS took command, but there was an issue: sensors -u.
2018-10-10 01:05:00 metrics.py   tralls          Demo Mode - Using sample data.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: cat /home/ubuntu/workspace/project/samples/sample-sensors.txt.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: free -o | tail -n +2.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: cat /home/ubuntu/workspace/project/samples/sample-df.txt.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: top -b -n1 | grep Cpu | tr -d '{NL}'.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: hostname | tr -d '{NL}'.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: uptime -p | cut -c 4- | tr -d '{NL}'.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: uname -v | tr -d '{NL}'.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: cat /home/ubuntu/workspace/project/samples/sample-dmesg.txt.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: ifconfig eth0 | tail -n +4.
2018-10-10 01:05:00 metrics.py   tralls            Successfully ran: cat /home/ubuntu/workspace/project/samples/sample-lsblk.txt.
2018-10-10 01:05:00 logger.py    tralls          Max log size reached: 2000 - Started new log.
